/home/steve/IdeaProjects/tqec/.venv/bin/python /home/steve/IdeaProjects/tqec/streaming.py
Benchmarking streaming with nx=5, ny=5, t=100, k=2

Initial stream generation time (s): 0.00000072

Index, Time Taken (s), Time Elapsed (s), Total Circuit Size (bytes), Circuit Snippet
Partition 1/12 layer tree generation time (s): 3.865647077560425
407, 0.22890592, 140.56118703, 12863122, REPEAT 3 {     TICK
408, 0.00019050, 140.56155515, 12917347, TICK
409, 2.75217319, 143.31373525, 12917351, RX 2 4 8 10 14 16 20
Partition 10/12 layer tree generation time (s): 4.154794931411743
410, 5.62112403, 148.93509626, 12969147, TICK
411, 0.23363328, 149.16874480, 12969151, RX 2 4 8 10 14 16 20
412, 0.23414397, 149.40307593, 13020185, REPEAT 3 {     TICK
413, 0.00019145, 149.40345097, 13075618, TICK
414, 0.23730421, 149.64076352, 13075622, RX 2 4 8 10 14 16 20
415, 0.00024414, 149.64119554, 13128645, TICK
416, 0.23379612, 149.87500072, 13128649, RX 2 4 8 10 14 16 20
417, 0.23300004, 150.10818267, 13179613, REPEAT 3 {     TICK
418, 0.00019550, 150.10855603, 13234553, TICK
419, 0.23423862, 150.34280276, 13234557, RX 2 4 8 10 14 16 20
420, 0.00024867, 150.34323263, 13287086, TICK
421, 0.22413707, 150.56737995, 13287090, RX 2 4 8 10 14 16 20
422, 0.63828993, 151.20586705, 13337184, REPEAT 3 {     TICK
423, 0.00018358, 151.20622230, 13390861, TICK
424, 0.22471118, 151.43094277, 13390865, RX 2 4 8 10 14 16 20
425, 0.00026035, 151.43138647, 13442110, TICK
426, 0.23450184, 151.66589785, 13442114, RX 2 4 6 8 10 12 14
427, 0.23756218, 151.90365696, 13492986, REPEAT 3 {     TICK
428, 0.00019765, 151.90403748, 13548348, TICK
429, 0.23868608, 152.14273095, 13548352, RX 2 4 6 8 10 12 14
430, 0.00024176, 152.14314818, 13601288, TICK
431, 0.22468591, 152.36784196, 13601292, RX 2 4 6 8 10 14 16
432, 0.22643232, 152.59444499, 13651514, REPEAT 3 {     TICK
433, 0.00018978, 152.59480524, 13705223, TICK
434, 0.22881818, 152.82363105, 13705227, RX 2 4 6 8 10 14 16
435, 0.00024629, 152.82404685, 13756494, TICK
436, 0.22549725, 153.04955244, 13756498, RX 2 4 8 10 14 16 20
437, 0.22513318, 153.27485728, 13806418, REPEAT 3 {     TICK
438, 0.00018978, 153.27521610, 13860095, TICK
439, 0.22629309, 153.50151634, 13860099, RX 2 4 8 10 14 16 20
440, 0.00024271, 153.50194049, 13911331, TICK
441, 0.23274255, 153.73469114, 13911335, RX 2 4 8 10 14 16 20
442, 0.23292494, 153.96778870, 13961992, REPEAT 3 {     TICK
443, 0.00018883, 153.96815181, 14016896, TICK
444, 0.23428345, 154.20244384, 14016900, RX 2 4 8 10 14 16 20
445, 0.00024271, 154.20285988, 14069387, TICK
446, 0.36858296, 154.57144976, 14069391, RX 2 4 6 8 10 14 16
447, 0.23415303, 154.80577087, 14120103, REPEAT 3 {     TICK
448, 0.00018382, 154.80612779, 14174884, TICK
449, 0.70974088, 155.51587725, 14174888, RX 2 4 6 8 10 14 16
450, 0.00025773, 155.51631594, 14227228, TICK
451, 0.43709517, 155.95341825, 14227232, RX 2 4 8 10 14 16 20
452, 0.23133421, 156.18491983, 14278077, REPEAT 3 {     TICK
453, 0.00018549, 156.18527913, 14332976, TICK
454, 2.77693820, 158.96222711, 14332980, RX 2 4 8 10 14 16 20
Partition 11/12 layer tree generation time (s): 4.062267303466797
455, 5.61461425, 164.57708812, 14385457, TICK
456, 0.37673283, 164.95383573, 14385461, RX 2 4 8 10 14 16 20
457, 0.23581815, 165.18984461, 14435858, REPEAT 3 {     TICK
458, 0.00019908, 165.19023633, 14490083, TICK
459, 0.68759799, 165.87784243, 14490087, RX 2 4 8 10 14 16 20
460, 0.00027561, 165.87830591, 14541866, TICK
461, 0.45456624, 166.33288097, 14541870, RX 2 4 8 10 14 16 18
462, 0.24916649, 166.58224225, 14593266, REPEAT 3 {     TICK
463, 0.00025344, 166.58272600, 14649307, TICK
464, 0.35084581, 166.93358326, 14649311, RX 2 4 8 10 14 16 18
465, 0.00037932, 166.93420601, 14702943, TICK
466, 0.27935576, 167.21357179, 14702947, RX 2 4 8 10 14 16 20
467, 0.23026514, 167.44401884, 14753655, REPEAT 3 {     TICK
468, 0.00021195, 167.44440794, 14808012, TICK
469, 0.23251700, 167.67693496, 14808016, RX 2 4 8 10 14 16 20
470, 0.00030208, 167.67741442, 14859952, TICK
471, 0.23467183, 167.91209412, 14859956, RX 2 4 8 10 14 16 20
472, 0.23827982, 168.15054631, 14910625, REPEAT 3 {     TICK
473, 0.00020742, 168.15093851, 14965443, TICK
474, 0.23907423, 168.39002061, 14965447, RX 2 4 8 10 14 16 20
475, 0.00024962, 168.39044809, 15017845, TICK
476, 0.24156952, 168.63202572, 15017849, RX 2 4 6 8 10 14 16
477, 0.23703527, 168.86922908, 15068642, REPEAT 3 {     TICK
478, 0.00018954, 168.86959672, 15123522, TICK
479, 0.24097919, 169.11058402, 15123526, RX 2 4 6 8 10 14 16
480, 0.00025082, 169.11101294, 15175976, TICK
481, 0.24094486, 169.35196781, 15175980, RX 2 4 8 10 14 16 20
482, 0.24856830, 169.60071659, 15227414, REPEAT 3 {     TICK
483, 0.00019288, 169.60109782, 15283418, TICK
484, 0.24838257, 169.84948826, 15283422, RX 2 4 8 10 14 16 20
485, 0.00023580, 169.84989858, 15337008, TICK
486, 0.23681092, 170.08671761, 15337012, RX 2 4 8 10 14 16 20
487, 0.74571085, 170.83260036, 15387650, REPEAT 3 {     TICK
488, 0.00019455, 170.83296847, 15441945, TICK
489, 0.23917341, 171.07214928, 15441949, RX 2 4 8 10 14 16 20
490, 0.00023627, 171.07255507, 15493820, TICK
491, 0.45699191, 171.52955532, 15493824, RX 2 4 8 10 14 16 20
492, 0.23908544, 171.76881051, 15544480, REPEAT 3 {     TICK
493, 0.00019360, 171.76917839, 15599286, TICK
494, 0.24385667, 172.01304221, 15599290, RX 2 4 8 10 14 16 20
495, 0.00023150, 172.01344371, 15651670, TICK
496, 0.19929028, 172.21274137, 15651674, RX 2 4 8 10 14 16 20
497, 0.19934392, 172.41224933, 15699143, REPEAT 3 {     TICK
498, 0.00016642, 172.41258454, 15748229, TICK
499, 0.22801828, 172.64061213, 15748233, RX 2 4 8 10 14 16 20
Partition 12/12 layer tree generation time (s): 0.2631502151489258
500, 1.77136326, 174.41222978, 15817114, None
