/home/steve/IdeaProjects/tqec/.venv/bin/python /home/steve/IdeaProjects/tqec/streaming.py
Benchmarking streaming with nx=5, ny=5, t=100, k=2

Initial stream generation time (s): 0.00000072

Index, Time Taken (s), Time Elapsed (s), Total Circuit Size (bytes), Circuit Snippet
Partition 1/12 layer tree generation time (s): 3.865647077560425
94, 1.60942054, 28.95445967, 2927092, RX 2 4 8 10 14 16 20
Partition 3/12 layer tree generation time (s): 4.150684118270874
95, 5.73522830, 34.68993568, 2978477, TICK
96, 0.23651242, 34.92646456, 2978481, RX 2 4 8 10 14 16 18
97, 0.24427509, 35.17091703, 3029837, REPEAT 3 {     TICK
98, 0.00019026, 35.17128944, 3085906, TICK
99, 0.24541235, 35.41670918, 3085910, RX 2 4 8 10 14 16 18
100, 0.00024366, 35.41713142, 3139580, TICK
101, 0.77577615, 36.19291496, 3139584, RX 2 4 8 10 14 16 20
102, 0.23352623, 36.42660832, 3190650, REPEAT 3 {     TICK
103, 0.00019264, 36.42697692, 3245607, TICK
104, 0.23592758, 36.66291213, 3245611, RX 2 4 8 10 14 16 20
105, 0.00023055, 36.66331005, 3298170, TICK
106, 0.22690034, 36.89021826, 3298174, RX 2 4 8 10 14 16 20
107, 0.65021157, 37.54060578, 3348634, REPEAT 3 {     TICK
108, 0.00018191, 37.54095888, 3402922, TICK
109, 0.23649740, 37.77746463, 3402926, RX 2 4 8 10 14 16 20
110, 0.00023890, 37.77787662, 3454780, TICK
111, 0.37008238, 38.14796877, 3454784, RX 2 4 8 10 14 16 20
112, 0.23190022, 38.38004708, 3505014, REPEAT 3 {     TICK
113, 0.00018859, 38.38041258, 3559157, TICK
114, 0.23264170, 38.61306143, 3559161, RX 2 4 8 10 14 16 20
115, 0.00023055, 38.61346269, 3610852, TICK
116, 0.22791862, 38.84138894, 3610856, RX 2 4 8 10 14 16 20
117, 0.23129892, 39.07286620, 3661222, REPEAT 3 {     TICK
118, 0.00020337, 39.07324481, 3715502, TICK
119, 0.23297739, 39.30622911, 3715506, RX 2 4 8 10 14 16 20
120, 0.00022268, 39.30661774, 3767369, TICK
121, 0.23117352, 39.53779912, 3767373, RX 2 4 6 8 10 12 14
122, 0.23396850, 39.77194142, 3818029, REPEAT 3 {     TICK
123, 0.00020885, 39.77232385, 3872838, TICK
124, 0.23491502, 40.00724745, 3872842, RX 2 4 6 8 10 12 14
125, 0.00030112, 40.00777316, 3925227, TICK
126, 0.68190241, 40.68968606, 3925231, RX 2 4 8 10 14 16 20
127, 0.22152519, 40.91139889, 3974953, REPEAT 3 {     TICK
128, 0.00018430, 40.91175508, 4028015, TICK
129, 0.22268820, 41.13445091, 4028019, RX 2 4 8 10 14 16 20
130, 0.00022674, 41.13485003, 4078625, TICK
131, 0.23199034, 41.36684847, 4078629, RX 2 4 8 10 14 16 20
132, 0.23476863, 41.60178924, 4128982, REPEAT 3 {     TICK
133, 0.00018883, 41.60216737, 4183686, TICK
134, 0.23521996, 41.83739662, 4183690, RX 2 4 8 10 14 16 20
135, 0.00023460, 41.83780169, 4235961, TICK
136, 0.22638464, 42.06419492, 4235965, RX 2 4 6 8 10 12 14
137, 0.22866392, 42.29303145, 4286291, REPEAT 3 {     TICK
138, 0.00019097, 42.29341054, 4340447, TICK
139, 2.56233311, 44.85575271, 4340451, RX 2 4 6 8 10 12 14
Partition 4/12 layer tree generation time (s): 4.311513423919678
140, 6.12335777, 50.97935796, 4392168, TICK
141, 0.24338293, 51.22275305, 4392172, RX 2 4 8 10 14 16 18
142, 0.24707603, 51.47000766, 4444229, REPEAT 3 {     TICK
143, 0.00019860, 51.47040820, 4501419, TICK
144, 0.25124359, 51.72165918, 4501423, RX 2 4 8 10 14 16 18
145, 0.00023437, 51.72206783, 4556222, TICK
146, 0.45540810, 52.17748404, 4556226, RX 2 4 6 8 10 12 14
147, 0.23868012, 52.41633582, 4607904, REPEAT 3 {     TICK
148, 0.00020123, 52.41671705, 4663801, TICK
149, 0.24200010, 52.65872383, 4663805, RX 2 4 6 8 10 12 14
150, 0.00023079, 52.65912700, 4717279, TICK
151, 0.23308825, 52.89222383, 4717283, RX 2 4 6 8 10 14 16
152, 0.23518682, 53.12759113, 4768557, REPEAT 3 {     TICK
153, 0.00018644, 53.12795949, 4823958, TICK
154, 0.67471671, 53.80268288, 4823962, RX 2 4 6 8 10 14 16
155, 0.00023985, 53.80309272, 4876956, TICK
156, 0.23401999, 54.03712010, 4876960, RX 2 4 6 8 10 12 14
157, 0.23768854, 54.27498531, 4928013, REPEAT 3 {     TICK
158, 0.00020266, 54.27537179, 4983295, TICK
159, 0.23893952, 54.51432014, 4983299, RX 2 4 6 8 10 12 14
160, 0.00024152, 54.51473236, 5036147, TICK
161, 0.23546457, 54.75020576, 5036151, RX 2 4 8 10 14 16 20
162, 0.23676324, 54.98714113, 5087421, REPEAT 3 {     TICK
163, 0.02824616, 55.01556802, 5142919, TICK
164, 0.23837185, 55.25396943, 5142923, RX 2 4 8 10 14 16 20
165, 0.00024986, 55.25440192, 5196004, TICK
166, 0.37211132, 55.62652040, 5196008, RX 2 4 8 10 12 14 16
167, 0.23567700, 55.86236572, 5247160, REPEAT 3 {     TICK
168, 0.00018859, 55.86273718, 5302534, TICK
169, 0.23680186, 56.09954667, 5302538, RX 2 4 8 10 12 14 16
170, 0.00022602, 56.09994841, 5355478, TICK
171, 0.23018885, 56.33014607, 5355482, RX 2 4 8 10 14 16 20
172, 0.23179483, 56.56211305, 5406467, REPEAT 3 {     TICK
173, 0.00019193, 56.56248045, 5461419, TICK
174, 0.23414588, 56.79663372, 5461423, RX 2 4 8 10 14 16 20
175, 0.00023007, 56.79703259, 5513947, TICK
176, 0.23044777, 57.02748704, 5513951, RX 2 4 8 10 14 16 18
177, 0.69290495, 57.72056198, 5564857, REPEAT 3 {     TICK
178, 0.00018644, 57.72092366, 5619812, TICK
179, 0.23435807, 57.95528936, 5619816, RX 2 4 8 10 14 16 18
180, 0.00024056, 57.95570636, 5672348, TICK
181, 0.44155407, 58.39727187, 5672352, RX 2 4 6 8 10 14 16
182, 0.24258637, 58.64005136, 5723501, REPEAT 3 {     TICK
183, 0.00019312, 58.64041686, 5778942, TICK
184, 2.46774745, 61.10817099, 5778946, RX 2 4 6 8 10 14 16
Partition 5/12 layer tree generation time (s): 4.292286157608032
185, 6.14916301, 67.25757337, 5831987, TICK
186, 0.22515845, 67.48274541, 5831991, RX 2 4 8 10 14 16 18
187, 0.22966003, 67.71257734, 5882449, REPEAT 3 {     TICK
188, 0.00018835, 67.71294522, 5936648, TICK
189, 0.22938871, 67.94234204, 5936652, RX 2 4 8 10 14 16 18
190, 0.00023961, 67.94275594, 5988416, TICK
191, 0.23326349, 68.17602754, 5988420, RX 2 4 8 10 14 16 18
192, 0.23568726, 68.41188407, 6039346, REPEAT 3 {     TICK
193, 0.00018573, 68.41224265, 6094677, TICK
194, 0.23847580, 68.65072584, 6094681, RX 2 4 8 10 14 16 18
195, 0.00022888, 68.65112424, 6147584, TICK
196, 0.51804519, 69.16917920, 6147588, RX 2 4 8 10 14 16 18
197, 0.23259187, 69.40195107, 6198390, REPEAT 3 {     TICK
198, 0.00020385, 69.40232944, 6253179, TICK
199, 0.23581934, 69.63815641, 6253183, RX 2 4 8 10 14 16 18
200, 0.00024056, 69.63856936, 6305545, TICK
201, 0.43408632, 70.07266521, 6305549, RX 2 4 8 10 14 16 18
202, 0.25057817, 70.32342839, 6357995, REPEAT 3 {     TICK
203, 0.00019002, 70.32380128, 6415743, TICK
204, 0.25206137, 70.57587004, 6415747, RX 2 4 8 10 14 16 18
205, 0.00025368, 70.57630920, 6471095, TICK
206, 0.82890964, 71.40522790, 6471099, RX 2 4 8 10 14 16 20
207, 0.23273253, 71.63813567, 6522430, REPEAT 3 {     TICK
208, 0.00019121, 71.63850713, 6577392, TICK
209, 0.23628569, 71.87479997, 6577396, RX 2 4 8 10 14 16 20
210, 0.00023460, 71.87520242, 6629965, TICK
211, 0.36805463, 72.24326491, 6629969, RX 2 4 8 10 14 16 18
212, 0.23307729, 72.47650933, 6680713, REPEAT 3 {     TICK
213, 0.00019073, 72.47688174, 6735533, TICK
214, 0.23649025, 72.71338129, 6735537, RX 2 4 8 10 14 16 18
215, 0.00022793, 72.71378469, 6787916, TICK
216, 0.22405934, 72.93785167, 6787920, RX 2 4 8 10 14 16 20
217, 0.22542882, 73.16344738, 6838078, REPEAT 3 {     TICK
218, 0.00018978, 73.16381502, 6891810, TICK
219, 0.22780609, 73.39162922, 6891814, RX 2 4 8 10 14 16 20
220, 0.00023580, 73.39203119, 6943119, TICK
221, 0.23275495, 73.62479591, 6943123, RX 2 4 8 10 14 16 20
222, 0.23569536, 73.86066437, 6993641, REPEAT 3 {     TICK
223, 0.00020003, 73.86103868, 7048423, TICK
224, 0.70328140, 74.56432700, 7048427, RX 2 4 8 10 14 16 20
225, 0.00024199, 74.56473994, 7100758, TICK
226, 0.23938918, 74.80413723, 7100762, RX 2 4 8 10 12 14 16
227, 0.23981690, 75.04412723, 7152169, REPEAT 3 {     TICK
228, 0.00020099, 75.04450488, 7208127, TICK
229, 3.22321510, 78.26772714, 7208131, RX 2 4 8 10 12 14 16
Partition 6/12 layer tree generation time (s): 4.073074579238892
230, 5.74704599, 84.01500940, 7261677, TICK
231, 0.80666828, 84.82169271, 7261681, RX 2 4 8 10 12 14 16
232, 0.22380352, 85.04568148, 7311693, REPEAT 3 {     TICK
233, 0.00018096, 85.04603267, 7364859, TICK
234, 0.22179341, 85.26783371, 7364863, RX 2 4 8 10 12 14 16
235, 0.00023723, 85.26824713, 7415590, TICK
236, 0.23048472, 85.49874139, 7415594, RX 2 4 6 8 10 14 16
237, 0.23336029, 85.73229051, 7466128, REPEAT 3 {     TICK
238, 0.00019264, 85.73266649, 7520991, TICK
239, 0.23455811, 85.96723437, 7520995, RX 2 4 6 8 10 14 16
